product,dwb_asset_category,dwb_asset_type,dwb_unit,lr_rule,fee_parameter,Search Terms
Main & Sub Control Panel for Inert Gas System,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
MAIN AIR COMPRESSOR,Reciprocating compressors,Machinery Equipment,pcs,CLASS MACH Part 5,capacity(m3/hr),air compressor pressure
MAIN AIR RESERVOIR,Air receivers,Pressure Vessels,PCS,CLASS MACH Part 5,Section 12.6,air receiver starting air
MAIN AIR RESERVOIR NO.1 WITH PIPE,Air receivers,Pressure Vessels,PCS,CLASS MACH Part 5,Section 12.6,air receiver starting air
"Main Air Reservoir, Aux Air Reservoir",Air receivers,Pressure Vessels,PCS,CLASS MACH Part 5,Section 12.6,air receiver starting air
Main Block for Gas Valve Train,Hydraulic  Block or Cylinder,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 4.2 or Section 4.3,hydraulic cylinder pressure
Main Control Panel,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Main Control Panel for BWTS,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Main Control Panel for Scrubber,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Main Engine Remote Control System,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,control alarm monitoring systems
Main Journal,Steel forgings as rough machined,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Main Starting Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Main Switchboard,Main switchboard,Electrical Equipment & Component,pcs,,Section 5.6,main switchboard busbar
Main Transformer,Transformer,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,kVA,transformer winding insulation
Manifold for heating coil,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Manifold Pieces,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Manifold Service Crane P/S,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
Manual Winch for hoist,Winches,Outfitting Equipment & Component,pcs,,q'ty,mooring winch
ME CYL OIL SERV,Tank,Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.11,tank structural test
ME LSMGO Cooler,Heat exchanger plate type,Pressure vessels,pcs,CLASS MACH Part 5,Section 12.4,plate heat exchanger
Membrane accumulator,Engine components,Machinery Equipment,batch,,q'ty,Engine components
Metallic Components for LNG CCS,Metallic Components for LNG CCS,LNG/CCS Components,batch,,Section 13.6,low temperature service materials
METALLIC FLEXIBLE HOSE ASSEMBLY,Piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
METHANOL LFSS SKID PIPING,Machinery and piping system,Machinery Equipment,pcs,,Time base,machinery piping systems
MGO Cooler,Heat exchanger plate type,Pressure vessels,pcs,CLASS MACH Part 6,Section 12.4,plate heat exchanger
Misc. Butterfly Valves,Valves,Machinery Equipment,batch,CLASS MACH Part 6,Section 10.5,valves fittings piping
Misc. Fittings - Welding Neck Flange,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Misc. Manifold for OCIMF,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Misc. Pipe Fitting (Flange),"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
"Misc. Pipe Fittings (Elbow, reducer, Flange, etc)","Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Misc. Piping Spools for HD/LD Compressor,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Misc. Stainless Steel Pipe Fitting,Pipe Fittings,Machinery Equipment,batch,,Section 12.7,pipe fittings
Misc. Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
"Misc. Valve(Butterfly valve, flange type)",Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Misc. Valves,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Mist Separator,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
Monitor Vessel,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
Monorail Crane,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
Motor Control Centre,Starter,Electrical Equipment & Component,pcs,,Section 5.8,motor control gear
Multistage Vertical Pump,"Dynamic Pump (Centrifugal, Turbine etc)",Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.1,pumps machinery
N2 Buffer tank,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
N2 Gas Riser,N2 Gas Riser,LNG/CCS Components,pcs,,hour,nitrogen inert gas system
N2 MANIFOLD,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
N2 Panel,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,,Section 5.7,control alarm monitoring systems
Naoh Dosing Unit,Machinery and piping system,Machinery Equipment,pcs,,Time base,machinery piping systems
Needle Body & Bonnet,Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Needle STR,Strainer,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.9,filters strainers
NIPPLE R-TYPE (SPECIAL),Pipe Fittings,Machinery Equipment,batch,,Section 12.7,pipe fittings
Nitrogen Purge Pipe,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Nut,Bolts,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,bolts securing arrangements
OCIMF Manifold Piece,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
"Oil bilge separator, Oil Content Meter",Marpol Annex I - Oil content meter,Machinery Equipment,pcs,2 STAT - Marine Pollution,Section 10.12,oil filtering equipment
Oil collector pipe spool,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
OIL CYLINDER,Hydraulic block or cylinder,Engine & Propulsion Components,batch,,Section 4.2 or Section 4.3,hydraulic cylinder pressure
Oil Cylinder,Oil Cylinder for  Engine,Engine & Propulsion Components,batch,CLASS MACH Part 5,q'ty,Oil Cylinder for  Engine
Oil detector,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
Oil Heater / Cooler Chemical Clean,Tank,Machinery Equipment,,,Section 10.11,tank structural test
Oil separator,Unfired Pressure Vessel,Pressure Vessels,PCS,vol(liter),Section 12.6,pressure vessels
One piece,Hydraulic block or cylinder,Engine & Propulsion Components,,,Section 4.2 or Section 4.3,hydraulic cylinder pressure
Orifice Block,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Orifice plate,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Overhead travelling crane,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
Pan Check Valve (Wafer & Screw),Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
PaNOx SCR System Control Panel for G/E,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Pedestal for Compressor Room Service Crane,Structure,Hull equipment,batch,Lifting Appliances,kg,structural arrangements scantlings
Pedestal for Hose Handling Crane,Structure,Hull equipment,batch,Lifting Appliances,kg,structural arrangements scantlings
Pedestal for Manifold Service Crane P/S,Structure,Hull equipment,batch,Lifting Appliances,kg,structural arrangements scantlings
Pedestal for Provision Crane,Structure,Hull equipment,batch,Lifting Appliances,kg,structural arrangements scantlings
Pilot Operated Safety Relief Valve,Cryogenic Valve,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves low temperature service
"Pilot slant ladder, Hoisting winch/motor",Ladders and equipment,Hull equipment,PCS,CLASS HULL Parts 2 & 3,Section 8.4,ladders access arrangements
Pin,Bolts,Engine & Propulsion Components,batch,,Section 10.9,bolts securing arrangements
Pintle,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
PIPE COUPLING FOR MAIN ENGINE,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Pipe Couplings for Engine,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Pipe Couplings for High Pressure Pipe of Engine,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Pipe Fitting,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Pipe Fitting BOSS,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Pipe Fitting Threadolet,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Pipe Fittings,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Pipe Spool,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Pipe Spool for BOG Compressor,Piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
PIPE SPOOL FOR FRAMO,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Pipe Spools for Bunkering Station Skid,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Piping Spool,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
PISTON,Steel forgings as final machined,Materials,kg,,Section 4.3,steel forgings mechanical tests
Piston Crown,Piston Crown(Forged),Engine & Propulsion Components,batch,,q'ty,piston crown
PISTON CROWN,Statement of work,Other Services,batch,,hour,
Piston Rod,Piston Rod,Engine & Propulsion Components,pcs,CLASS MACH Part 5,kg,Piston Rod
Plain Trolley,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
Plate,Rolled steel,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.5,rolled steel plates sections
Plywood,Plywood,LNG/CCS Components,Batch,,,Plywood
Pneu. Control Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Pneumatic Control Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Pneumatic Fender,Statement of work,Other Services,batch,,hour,
POD VALVE,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Pre-Magneti Transformer,Transformer,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,kVA,transformer winding insulation
Press./Vacuum relief valve,Valves,Machinery Equipment,batch,CLASS HULL Parts 2 & 3,Section 10.5,valves fittings piping
Pressure Reducing Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Primary Barrier Components(Membrane),Stainless steel membrane,,,,,membrane containment system
Primary Pressure Regulating Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Primary Regulating Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Primary Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Propeller Shaft,Propeller Shaft,Engine & Propulsion Components,pcs,CLASS MACH Part 5,kg,Propeller Shaft
Propeller Shaft,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Propeller Shaft,Steel forgings as rough machined,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Provision Crane,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
Provision Crane P/S,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
PROVISON CRANE,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
Pulling Bar,Rolled steel,Materials,kg,Q'ty of Heat,Section 4.5,rolled steel plates sections
Pulsation Damper Discharge,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
Pulsation Damper Suction,Unfired Pressure Vessel,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.6,pressure vessels
Pump,"Dynamic Pump (Centrifugal, Turbine etc)",Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.1,pumps machinery
Pump for Local Fire fighting system,"Dynamic Pump (Centrifugal, Turbine etc)",Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.1,pumps machinery
Pump Room Davit,Shipboard crane Certification,Lifting Appliances,pcs,Lifting Appliances,Section 9.2,lifting appliances crane
PUMP STARTER PANEL FOR SCRUBBER SYSTEM,Starter,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.8,motor control gear
Pump Tower Base Support,Pump Tower Base Support,LNG/CCS Components,pcs,,hour,cargo tank supports
Pump Tower Base Support for GTT Mark III Flex LNG Cargo Containment System,Pump Tower Pump Support,LNG/CCS Components,batch,,hour,cargo tank supports
PUMP TOWER SUMP WELL,Pump Tower Sump Well,LNG/CCS Components,batch,,hour,cargo tank supports
PURI. SUPPLY UNIT,Machinery and Piping System,Machinery Equipment,pcs,CLASS MACH Part 5,Time base,machinery piping systems
Purifier Room Piping System Unit,Machinery and Piping System,Machinery Equipment,pcs,CLASS MACH Part 5,Time base,machinery piping systems
QUICK CLOSING VALVE ( 2 - Way Ball Valve),Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Quick Closing Valve (Master Gas Fuel Valve),Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
R.STOCK WITH SLEEVE (Forged),Steel forgings as final machined,Materials,kg,,Section 4.3,steel forgings mechanical tests
Reducing valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Refrigerant Receiver,Unfired Pressure Vessel,Pressure Vessels,pcs,,Section 12.6,pressure vessels
Reinforced Poly-Urethane foam,Reinforced Poly-Urethane foam,LNG/CCS Components,Batch,,,insulation material cargo tank
Remote Control Panel,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Remote Control Panel for Scrubber,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Remote Control System for Propulsion System,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,control alarm monitoring systems
Ring Flange,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Ring Plate,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Rotary Vane Type Steering Gear,Steering gear,Outfitting Equipment & Component,pcs,CLASS MACH Part 5,R/Stock Dia(mm),steering gear rudder actuator
ROTOR SHAFT,Steel forgings as rough machined,Materials,batch,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Rotor shaft assemblies,statement of work,other seervices,q'ty,,hour,
ROTOR SHAFT FOR MET60MB II TYPE TURBOCHARGER,Steel forgings as rough machined,Materials,batch,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Round Bar,Bar Profiles,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.3 or Section 4.5,rolled steel bars sections
ROUND BAR FOR BRAKE SCREW OF HYDRAULIC SPRING CYLINDER,Bar Profiles,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.3 or Section 4.5,rolled steel bars sections
Round bar for Crosshead pin,BAR PROFILES,Materials,kg,,Section 4.3 or Section 4.5,rolled steel bars sections
Round Bar for Pin,Bar Profiles,Materials,kg,,Section 4.3 or Section 4.5,rolled steel bars sections
"Round Bar, Square Bar",Bar Profiles,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.3 or Section 4.5,rolled steel bars sections
Rubber Mat,Statement of work,Other Services,batch,CLASS MACH Part 5,hour,
"Rudder (Ass'y, Completed, Fabricated)",Rudder & Fabricated Rudder Horn,Outfitting Equipment & Component,pcs,CLASS HULL Parts 2 & 3,area(m2),rudder horn
Rudder Hub,Steel forging as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Rudder Hub,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Rudder Stock,Steel forging as Rough machined,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Rudder Stock,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Rudder Trunk,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
RUDDER TRUNK / Duct,Rudder Trunk Ass'y,Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,kg,rudder trunk
Rudder Trunk Ass'y,Rudder Trunk Ass'y,Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,kg,rudder trunk
S.W. Heater,Heat exchanger shell type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
S/Q Flange,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Safety Body,Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Safety Relief Body,Steel casting as cast,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.2,steel castings mechanical tests
Safety Relief Valve,Cryogenic Valve,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves low temperature service
Safety Relief Valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Safety Valve,Cryogenic Valve,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves low temperature service
safety valve,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
SCAV. AIR BOX DRAIN TANK,Tank,Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.11,tank structural test
SCR Control Panel,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
SCR CONTROL UNIT FOR G/E SCR,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
SCR CONTROL UNIT FOR M/E SCR,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Seamless Pipes (LR Approved Manufacturer),Pipes and Tubes,Materials,kg,,Section 4.6,pipes tubes material
Seamless Pipes (Survey requested by distributor company (not LR Approved mill maker)),Pipes and Tubes,Materials,kg,,Section 4.5,pipes tubes material
Seamless Tube (LR Approved Manufacturer),Pipes and Tubes,Materials,kg,CLASS MACH Part 5,Section 4.6,pipes tubes material
Seamless Tube (Survey requested by distributor company (not LR Approved mill maker)),Pipes and Tubes,Materials,kg,CLASS MACH Part 5,Section 4.5,pipes tubes material
Sections for CO2 (Manifold),piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Separator,Unfired Pressure Vessel,Pressure Vessels,pcs,,Section 12.6,pressure vessels
SERVICE AIR RESERVOIR,Air receivers,Pressure Vessels,PCS,CLASS MACH Part 5,Section 12.6,air receiver starting air
Sewage Collecting Tank,Tank,Machinery Equipment,pcs,CLASS MACH Part 5,Section 10.11,tank structural test
SGAV,Injection Control Unit for  Engine,Engine & Propulsion Components,,,,fuel injection control
Shaft,Bolts,Engine & Propulsion Components,batch,CLASS MACH Part 5,Section 10.9,bolts securing arrangements
Shaft Piece,Steel forgings as rough machined,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
SHELL & TUBE TYPE HEAT EXCHANGER (M/E JACKET F.W. PRE-HEATER),Heat Exchanger Shell Type,Pressure Vessels,pcs,CLASS MACH Part 5,Section 12.4,heat exchangers
Shell of Bladder Accumulator,Accumulator for VRCS (Valve Remote Control System),Machinery Equipment,batch,CLASS HULL Parts 2 & 3,q'ty,hydraulic accumulator
Shifting Winch (PORT & STBD),Winches,Outfitting Equipment & Component,pcs,CLASS HULL Parts 2 & 3,q'ty,mooring winch
SHIPSIDE DISTANCE PIPE PIECES,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Shipside Nozzle Piece,Piping,Machinery Equimpent,,,Section 10.10,piping system design pressure
Shore Connection Panel,Main switchboard,Electrical Equipment & Component,pcs,,Section 5.6,main switchboard busbar
Shore Gangway,Ladders and equipment,Hull equipment,pcs,,Section 8.4,ladders access arrangements
Short Distance Piece,Piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Side Scuttle,Windows/Scuttles/Glasses,Outfitting Equipment & Component,pcs,,q'ty,side scuttles windows
SIMPLEX OIL STRAINER,Strainer,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.9,filters strainers
Single Point Mooring System,Mooring and towing,Outfitting Equipment & Component,batch,CLASS HULL Parts 2 & 3,q'ty,mooring towing arrangements
Sleeve,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Sleeve - Special Type for Pipe Fitting,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Sleeve for Rudder Stock,bearings,Engine & Propulsion Components,batch,CLASS HULL Parts 2 & 3,Section 10.9,bearings lubrication
Sleeve for Rudder stock(upper/Lower),bearings,Engine & Propulsion Components,batch,CLASS HULL Parts 2 & 3,Section 10.9,bearings lubrication
SML Pipe (LR Approved Manufacturer),Pipes and Tubes,Materials,kg,CLASS MACH Part 5,Section 4.6,pipes tubes material
SML Pipe (Survey requested by distributor company (not LR Approved mill maker)),Pipes and Tubes,Materials,kg,CLASS MACH Part 5,Section 4.5,pipes tubes material
Software of IAS system (SSAS-Master) with Alarm Extension Panel,"Control, alarm and monitoring",Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,control alarm monitoring systems
Sol valve cabinet / Hyd. power pack,Valve Remote Control System,Machinery Equipment,batch,CLASS HULL Parts 2 & 3,m2,valve remote control system
Sol. Valve Box,Valve Remote Control System,Machinery Equipment,batch,CLASS MACH Part 5,m2,valve remote control system
Sol. Valve cabinet,Valve Remote Control System,Machinery Equipment,batch,CLASS HULL Parts 2 & 3,m2,valve remote control system
Sol. Valve cabinet / Sol. valve box,Valve Remote Control System,Machinery Equipment,batch,CLASS MACH Part 7,m2,valve remote control system
Solenoid Valve Cabinet,Valve Remote Control System,Machinery Equipment,batch,CLASS MACH Part 5,m2,valve remote control system
Spectacle,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equimpent,batch,,Section 12.7,pipe fittings
Spray Nozzle (3rd Party),Statement of work,Other Services,pcs,3 STAT - Fire Protection,hour,
Sprayer Nozzle,Fire Fighting system and components,Statutory - Fire,,,,Fire Fighting system and components
Spring type Heating Coil,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Spur Gear for HP Compressor,Gearing/shafts and wheels,Engine & Propulsion Components,batch,,Section 10.9,gearing shafts
SQ FLANGE BALL VALVE,Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Square Bar,Bar Profiles,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.3 or Section 4.5,rolled steel bars sections
Square Flange,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Stainless Forged Steel Pipe Fitting,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Stainless Steel Angle,Rolled steel,Materials,kg,CLASS HULL Parts 2 & 3,Section 4.5,rolled steel plates sections
Stainless Steel Coil,Rolled Steel,Materials,kg or ton,CLASS HULL Parts 2 & 3,Section 4.1,rolled steel plates sections
STAINLESS STEEL FITTING FOR LIQUID DOME,Metallic Components for LNG CCS,LNG/CCS Components,batch,,Section 13.6,low temperature service materials
Stainless Steel Flange,Pipe Fittings,Machinery Equipment,batch,,Section 12.7,pipe fittings
Stainless Steel Flange and Tube Sheet,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,CLASS MACH Part 5,Section 12.7,pipe fittings
Stainless Steel Forging,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Stainless Steel Forgings for Flange,Steel forgings as forged,Materials,kg,CLASS MACH Part 5,Section 4.3,steel forgings mechanical tests
Stainless steel membrane,Stainless steel membrane,LNG/CCS Components,Batch,,,membrane containment system
Stainless Steel Pipe (LR Approved Manufacturer),Pipes and Tubes,Materials,kg,CLASS MACH Part 5,Section 4.6,pipes tubes material
Stainless Steel Pipe (Survey requested by distributor company (not LR Approved mill maker)),Pipes and Tubes,Materials,kg,CLASS MACH Part 5,Section 4.5,pipes tubes material
Stainless Steel Pipe Spool,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Stainless Steel Pipe Spools for BOG Compressor,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Stainless Steel Pipe Spools for Double Wall Main Gas Pipe,Double wall pipe spools,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,double wall piping
Stainless steel Tube (LR Approved Manufacturer),Pipes and Tubes,Materials,kg,CLASS MACH Part 5,Section 4.6,pipes tubes material
Stainless steel Tube (Survey requested by distributor company (not LR Approved mill maker)),Pipes and Tubes,Materials,kg,CLASS MACH Part 5,Section 4.5,pipes tubes material
Stainless/Carbon Steel pipe fitting,"Pipe Fittings (flange, elbow, tee, reducer and etc)",Machinery Equipment,batch,q'ty,Section 12.7,pipe fittings
Starter & Alarm Panel for Steering Gear,Starter,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.8,motor control gear
Starter panel F.O & L.O Purifier,Starter,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.8,motor control gear
Starter panel for HP LPG Pump,Starter,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.8,motor control gear
Starter Panel for steering gear,Starter,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.8,motor control gear
starter Panel for Water Based Local Fire Fighting System,Electrical console/panel,Electrical Equipment & Component,pcs,CLASS ELEC Part 6,Section 5.7,switchboard
Starting Air Pipe,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
Starting Air Piping,piping,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.10,piping system design pressure
"Starting V/V, By-Pass V/V, Bursting Cap, Compact Ball V/V",Valves,Machinery Equipment,batch,CLASS MACH Part 5,Section 10.5,valves fittings piping
Stater Panel for Aux. Blower,Starter,Electrical Equipment & Component,pcs,,Section 5.8,motor control gear
